:START_ID(AcquiredPoint),:END_ID(DataPoint),:TYPE
-9104481422374552799,-4106887350265432550,DataPoint
-9103781255005023742,8614130483881762438,DataPoint
-9103358839503883471,-2868800207031613863,DataPoint
-9103318729445485314,3347078228020056874,DataPoint
-9101236905196585614,5406732768306638318,DataPoint
-9099827849691398831,-5235030103836723629,DataPoint
-9099510334196443471,-4330710281473518360,DataPoint
-9098583954320309862,5548954744359644047,DataPoint
-9098403129491335085,-2605769710354734579,DataPoint
-9098195490859574084,5659390077294306971,DataPoint
-9097491583868825870,3427839857063425485,DataPoint
-9097308277845291701,-3749540195089059296,DataPoint
-9096472734916339089,5502994436731763927,DataPoint
-9094928044530062842,-1256296519478698345,DataPoint
-9094792137750291804,6422494440539122262,DataPoint
-9094236173497983814,7328197117602129882,DataPoint
-9093492849261152317,9068686612678622916,DataPoint
-9093146317596455123,-1002724051348395610,DataPoint
-9092956585546293011,5440925227133709451,DataPoint
-9090849356445658607,2882018361738066861,DataPoint
-9090332014075896494,5649723483193569771,DataPoint
-9090331291884489905,-5172508360747922287,DataPoint
-9090080593340986371,977392565289234386,DataPoint
-9089233394320970392,5440925227133709451,DataPoint
-9088137813345862512,-5473020888422529961,DataPoint
-9087773565754834634,1497393525103309001,DataPoint
-9087392225205217675,4486505010488519050,DataPoint
-9087269275194363266,-7708291528914582420,DataPoint
-9086963304703487885,6048361804962262178,DataPoint
-9085873036669080191,1072192838100599689,DataPoint
-9083937159360068850,-5650986906416869641,DataPoint
-9083732573087006475,-424942856488150780,DataPoint
-9083709617043174033,-3533523101956952860,DataPoint
-9083119768479752012,-3751646243458018110,DataPoint
-9082724536753547796,-4106887350265432550,DataPoint
-9082637283837830907,155472071092084904,DataPoint
-9082547205539536495,6558939559789025422,DataPoint
-9082422300055357992,-3341500039365543862,DataPoint
-9081687437618327870,-6806661735425837259,DataPoint
-9081059087372069113,50511669530153989,DataPoint
-9080489058722944808,4486505010488519050,DataPoint
-9079410026237065096,6230617965214343981,DataPoint
-9078289585237241525,-5235030103836723629,DataPoint
-9078287428413129207,7520184996949037804,DataPoint
-9078205631272992146,-2119461428372176803,DataPoint
-9077295288036570345,-7573711229010500040,DataPoint
-9077248189895906889,-1640252274308936244,DataPoint
-9076881983823227702,-4324301263627745635,DataPoint
-9076813043133172823,6572994254794162501,DataPoint
-9076798933801688584,-7990541904998575968,DataPoint
-9074924266087869054,1884368550472138822,DataPoint
-9073879489204210283,-3749540195089059296,DataPoint
-9073795767421671283,-4138400819694905562,DataPoint
-9073367752502138812,-1495636201507265338,DataPoint
-9072155758793049485,9068686612678622916,DataPoint
