acquiredPointID:ID(AcquiredPoint),iteration:int,:LABEL
-9093492849261152317,145,AcquiredPoint
-9093146317596455123,102,AcquiredPoint
-9092956585546293011,53,AcquiredPoint
-9090849356445658607,60,AcquiredPoint
-9090332014075896494,12,AcquiredPoint
-9090331291884489905,51,AcquiredPoint
-9090080593340986371,48,AcquiredPoint
-9089233394320970392,53,AcquiredPoint
-9088137813345862512,50,AcquiredPoint
-9087773565754834634,104,AcquiredPoint
-9087392225205217675,43,AcquiredPoint
-9087269275194363266,48,AcquiredPoint
-9086963304703487885,117,AcquiredPoint
-9085873036669080191,22,AcquiredPoint
-9083937159360068850,91,AcquiredPoint
-9083732573087006475,108,AcquiredPoint
-9083709617043174033,61,AcquiredPoint
-9083119768479752012,59,AcquiredPoint
-9082724536753547796,67,AcquiredPoint
-9082637283837830907,56,AcquiredPoint
-9082547205539536495,129,AcquiredPoint
-9082422300055357992,41,AcquiredPoint
-9081687437618327870,86,AcquiredPoint
-9081059087372069113,24,AcquiredPoint
-9080489058722944808,36,AcquiredPoint
-9079410026237065096,18,AcquiredPoint
-9078289585237241525,125,AcquiredPoint
-9078287428413129207,77,AcquiredPoint
-9078205631272992146,89,AcquiredPoint
-9077295288036570345,83,AcquiredPoint
-9077248189895906889,0,AcquiredPoint
-9076881983823227702,25,AcquiredPoint
-9076813043133172823,121,AcquiredPoint
-9076798933801688584,94,AcquiredPoint
-9074924266087869054,115,AcquiredPoint
-9073879489204210283,1,AcquiredPoint
-9073795767421671283,8,AcquiredPoint
-9073367752502138812,5,AcquiredPoint
-9072155758793049485,69,AcquiredPoint
-9071621964419658256,48,AcquiredPoint
-9070813110912634769,96,AcquiredPoint
-9069711653488963891,14,AcquiredPoint
-9069543772003977307,111,AcquiredPoint
-9069138220503050985,128,AcquiredPoint
-9068377060357272262,4,AcquiredPoint
-9067772220972975916,30,AcquiredPoint
-9067700817717567020,28,AcquiredPoint
-9067613104126659874,50,AcquiredPoint
-9067323828466523301,76,AcquiredPoint
-9067245387944677378,124,AcquiredPoint
-9067037092110734827,64,AcquiredPoint
-9066993215895710395,73,AcquiredPoint
-9066284828894065054,88,AcquiredPoint
-9065608076968292473,25,AcquiredPoint
-9065346654024640539,111,AcquiredPoint
-9065344859668192549,2,AcquiredPoint
-9065205564919184764,27,AcquiredPoint
-9064297809920004822,62,AcquiredPoint
-9062924112144893775,21,AcquiredPoint
-9062268224850135057,69,AcquiredPoint
-9061992745772630321,25,AcquiredPoint
-9061661141228254170,108,AcquiredPoint
-9060889096444782562,97,AcquiredPoint
-9060837995357515922,93,AcquiredPoint
-9060577424131119401,16,AcquiredPoint
-9060325078493887447,135,AcquiredPoint
-9059880487917620176,10,AcquiredPoint
-9059422147947792103,88,AcquiredPoint
-9058984579113449766,89,AcquiredPoint
-9058675148056960322,20,AcquiredPoint
-9058398650172477654,29,AcquiredPoint
-9056571101342798624,141,AcquiredPoint
-9056383769460578784,102,AcquiredPoint
-9055757323346861869,96,AcquiredPoint
-9055465700966970915,142,AcquiredPoint
-9055421446433305301,88,AcquiredPoint
-9055333360301364166,122,AcquiredPoint
-9055319734404321339,19,AcquiredPoint
-9054074419776390489,60,AcquiredPoint
-9053489223783862719,63,AcquiredPoint
-9052470799661798719,44,AcquiredPoint
-9050859971074060203,81,AcquiredPoint
-9050235014289002211,57,AcquiredPoint
-9049865352126616212,137,AcquiredPoint
-9049860343236446845,48,AcquiredPoint
-9049554723450063509,135,AcquiredPoint
-9049527573415369638,40,AcquiredPoint
-9048602378462893848,59,AcquiredPoint
-9048326966438181720,76,AcquiredPoint
-9047903170286567855,55,AcquiredPoint
-9046854317500053841,119,AcquiredPoint
-9045843948342168141,116,AcquiredPoint
-9043733420714271284,103,AcquiredPoint
-9043651065184321091,9,AcquiredPoint
-9043249531827055642,54,AcquiredPoint
-9043227841092895511,2,AcquiredPoint
-9041265409718927633,135,AcquiredPoint
-9040192429362317265,28,AcquiredPoint
-9039545116071017973,126,AcquiredPoint
-9039106393629074350,28,AcquiredPoint
-9038007011664564842,6,AcquiredPoint
-9037758264783613134,43,AcquiredPoint
-9037061158101126477,108,AcquiredPoint
-9036966395133560094,138,AcquiredPoint
-9036854406989714866,87,AcquiredPoint
-9036508925600578242,132,AcquiredPoint
-9035962278655592614,42,AcquiredPoint
-9034780194497064870,12,AcquiredPoint
-9034388428104615113,14,AcquiredPoint
-9034276790138557197,23,AcquiredPoint
-9034108238696407407,44,AcquiredPoint
-9032931007138090042,36,AcquiredPoint
-9032538856723285315,100,AcquiredPoint
-9031575271407635639,92,AcquiredPoint
-9031282372349951098,39,AcquiredPoint
-9030352285174753721,92,AcquiredPoint
-9030109804825925977,52,AcquiredPoint
-9029864586501125034,121,AcquiredPoint
-9029235155171232546,76,AcquiredPoint
-9028612877211068605,30,AcquiredPoint
-9027748803355631082,2,AcquiredPoint
-9025388267555504805,6,AcquiredPoint
-9024966960425532282,32,AcquiredPoint
-9023926924018331528,120,AcquiredPoint
-9023668746293033321,52,AcquiredPoint
-9023040603784025660,68,AcquiredPoint
-9022634870157239468,8,AcquiredPoint
-9022012744079851415,10,AcquiredPoint
-9021912042784794147,116,AcquiredPoint
-9018431535373864715,63,AcquiredPoint
-9017312777429194416,107,AcquiredPoint
-9017225430144976187,8,AcquiredPoint
-9016605770481365069,47,AcquiredPoint
-9016306827643226044,33,AcquiredPoint
-9016054975631906882,36,AcquiredPoint
-9016053513270043915,1,AcquiredPoint
-9015906878798404906,76,AcquiredPoint
-9015000228091577861,44,AcquiredPoint
-9014728487037305125,8,AcquiredPoint
-9014202812830715509,73,AcquiredPoint
-9014189608281126379,3,AcquiredPoint
-9012567700937394776,109,AcquiredPoint
-9011630417633992818,101,AcquiredPoint
-9011223910701953880,40,AcquiredPoint
-9009924803552108086,42,AcquiredPoint
-9008958731759673972,6,AcquiredPoint
-9008945537534153893,40,AcquiredPoint
-9008711104262177638,13,AcquiredPoint
-9008692022289904038,99,AcquiredPoint
-9007980162811363969,147,AcquiredPoint
-9007856033583562892,19,AcquiredPoint
-9005484476328335222,52,AcquiredPoint
